date,asin,ads_date_ref,tsales_date_ref,impressions,clicks,ad_spend,units_sold,ad_sales,shippedunits,shippedrevenueamount,Item Name,Collection,Category,Size,Inch,orderedunits,orderedrevenueamount
29-08-2024,B0BNL43XHH,,2024-08-29,0,0,0,0,0,1,76,"NapQueen 1.5"" Ventilated Bamboo Charcoal Memory Foam Mattress Topper, King",Bamboo Charcoal Topper,Mattress Topper,King,1.5 Inch,0,0
04-09-2024,B0BNL4NX61,,2024-09-04,0,0,0,0,0,1,35,"NapQueen 1.5'' Green Tea Mattress Topper, Twin",Green Tea,Mattress Topper,Twin,1.5 Inch,0,0
30-08-2024,B0BNL49HMH,,2024-08-30,0,0,0,0,0,1,80,"NapQueen 3'' Green Tea Mattress Topper, Queen",Green Tea,Mattress Topper,Queen,3 Inch,0,0
03-09-2024,B0BNL1QKLV,,2024-09-03,0,0,0,0,0,1,48,"NapQueen 1.5'' 5-Zone Mattress Topper, Twin-XL",5-Zone gel,Mattress Topper,Twin XL,1.5 Inch,0,0
10-09-2024,B0BNL3YY1C,,2024-09-10,0,0,0,0,0,1,50,"NapQueen 2'' Green Tea Mattress Topper, Full",Green Tea,Mattress Topper,Full,2 Inch,0,0
28-08-2024,B0BNL53HF3,,2024-08-28,0,0,0,0,0,1,59,"NapQueen 1.5'' Green Tea Mattress Topper, Queen",Green Tea,Mattress Topper,Queen,1.5 Inch,0,0
21-08-2024,B0BRCXXBG2,,2024-08-21,0,0,0,0,0,1,155,"NapQueen Anula Green Tea 6'', Full",Anula,Mattress,Full,6 Inch,0,0
29-08-2024,B0BRDCJWJC,,2024-08-29,0,0,0,0,0,1,218,"NapQueen 10"" Maxima Hybrid Mattress, Queen, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Queen,10 Inch,0,0
09-09-2024,B0CQVL6NXT,,2024-09-09,0,0,0,0,0,1,109,"NapQueen Zeta Bed Frame, Full",Zeta,Bed Frame,Full,16 Inch,0,0
30-08-2024,B0BRCY688R,,2024-08-30,0,0,0,0,0,1,400,"NapQueen Anula Green Tea 12'', King",Anula,Mattress,King,12 Inch,0,0
26-08-2024,B0BRCXSTKW,,2024-08-26,0,0,0,0,0,1,287,"NapQueen Anula Green Tea 10'', King",Anula,Mattress,King,10 Inch,0,0
28-08-2024,B0BNL3L7LR,,2024-08-28,0,0,0,0,0,1,70,"NapQueen 3'' Green Tea Mattress Topper, Full",Green Tea,Mattress Topper,Full,3 Inch,0,0
04-09-2024,B0CY5LR4VX,,2024-09-04,0,0,0,0,0,1,325,NapQueen 14'' Isabella Hybrid Pillow Top Full Mattress,Isabella Pillow Top,Mattress,Full,14 Inch,0,0
17-08-2024,B0B31Y1FDZ,,2024-08-17,0,0,0,0,0,1,106,"NapQueen 6"" Bamboo Charcoal Mattress, Twin",Bamboo Charcoal Mattress,Mattress,Twin,6 Inch,0,0
